Maturity Date,Days,Strike,Bid,Ask,IMV
8/9/2023,7,31500,1195,1350,21.24606323
8/9/2023,7,31625,3,3,0
8/9/2023,7,31750,975,1160,22.13977432
8/9/2023,7,31875,3,3,0
8/9/2023,7,32000,750,855,17.17571449
8/9/2023,7,32125,3,3,0
8/9/2023,7,32250,530,565,12.92858982
8/9/2023,7,32375,435,470,12.81552505
8/9/2023,7,32500,355,375,12.64904594
8/9/2023,7,32625,285,295,12.65754414
8/9/2023,7,32750,230,230,12.91361237
8/9/2023,7,32875,165,175,12.62156391
8/9/2023,7,33000,125,125,12.59028721
8/9/2023,7,33125,91,95,12.80486584
8/9/2023,7,33250,66,66,12.8461647
8/9/2023,7,33375,45,49,13.0030756
8/9/2023,7,33500,35,35,13.38647175
8/9/2023,7,33625,22,24,13.34743309
8/9/2023,7,33750,16,16,13.55863762
8/9/2023,7,33875,9,11,13.51540756
13/10/2023,42,31500,1,1,0
13/10/2023,42,31625,1,1,0
13/10/2023,42,31750,1,1230,0
13/10/2023,42,31875,1,1,0
13/10/2023,42,32000,4,4,0
13/10/2023,42,32125,865,875,14.89626789
13/10/2023,42,32250,785,805,14.79276085
13/10/2023,42,32375,715,735,14.72397137
13/10/2023,42,32500,650,665,14.62694931
13/10/2023,42,32625,585,605,14.55648708
13/10/2023,42,32750,530,545,14.51236439
13/10/2023,42,32875,475,495,14.50082302
13/10/2023,42,33000,430,440,14.45765018
13/10/2023,42,33125,380,395,14.38874435
13/10/2023,42,33250,340,355,14.41438866
13/10/2023,42,33375,300,315,14.35723686
13/10/2023,42,33500,270,280,14.40867138
13/10/2023,42,33625,235,250,14.38056755
13/10/2023,42,33750,210,215,14.33804417
13/10/2023,42,33875,195,195,14.591362
10/11/2023,70,31500,1,1,0
10/11/2023,70,31625,1420,1470,16.67865944
10/11/2023,70,31750,1,1,0
10/11/2023,70,31875,1250,1300,16.36038017
10/11/2023,70,32000,1170,1210,16.13848877
10/11/2023,70,32125,1090,1125,15.91920567
10/11/2023,70,32250,1005,1055,15.74634171
10/11/2023,70,32375,955,980,15.78639317
10/11/2023,70,32500,890,910,15.693923
10/11/2023,70,32625,825,850,15.63908482
10/11/2023,70,32750,765,790,15.58321571
10/11/2023,70,32875,710,730,15.51806259
10/11/2023,70,33000,655,680,15.49473572
10/11/2023,70,33125,605,625,15.42298031
10/11/2023,70,33250,560,580,15.43812943
10/11/2023,70,33375,515,535,15.4061079
10/11/2023,70,33500,470,490,15.32522488
10/11/2023,70,33625,435,450,15.33886814
10/11/2023,70,33750,400,415,15.35587215
10/11/2023,70,33875,365,385,15.37829685
8/12/2023,98,30250,0,0,0
8/12/2023,98,30500,0,0,0
8/12/2023,98,30750,0,0,0
8/12/2023,98,31000,0,0,0
8/12/2023,98,31250,1770,1800,15.65606022
8/12/2023,98,31500,1675,1710,16.78097153
8/12/2023,98,31750,1495,1555,16.52918434
8/12/2023,98,32000,1355,1395,16.42199326
8/12/2023,98,32250,1210,1250,16.26218033
8/12/2023,98,32500,1075,1115,16.11737633
8/12/2023,98,32750,950,975,15.87939358
8/12/2023,98,33000,835,860,15.76100159
8/12/2023,98,33250,730,755,15.65830135
8/12/2023,98,33500,640,665,15.64867783
8/12/2023,98,33750,555,580,15.58498573
8/12/2023,98,34000,485,505,15.59216976
8/12/2023,98,34250,420,440,15.59973621
8/12/2023,98,34500,360,380,15.57531643
8/12/2023,98,34750,310,330,15.61071396
8/12/2023,98,35000,265,280,15.57071781
12/1/2024,133,30250,0,0,0
12/1/2024,133,30500,0,0,0
12/1/2024,133,30750,0,0,0
12/1/2024,133,31000,0,0,0
12/1/2024,133,31250,1920,1965,16.29269028
12/1/2024,133,31500,1835,1880,17.23633957
12/1/2024,133,31750,1660,1720,16.93335915
12/1/2024,133,32000,1520,1570,16.83737373
12/1/2024,133,32250,1380,1425,16.676548
12/1/2024,133,32500,1245,1290,16.51992989
12/1/2024,133,32750,1120,1165,16.39072418
12/1/2024,133,33000,1005,1045,16.25771141
12/1/2024,133,33250,905,930,16.15592575
12/1/2024,133,33500,805,830,16.0526123
12/1/2024,133,33750,720,740,16.0175705
12/1/2024,133,34000,635,660,15.95362282
12/1/2024,133,34250,565,590,15.9711895
12/1/2024,133,34500,495,520,15.89284897
12/1/2024,133,34750,440,460,15.91197205
12/1/2024,133,35000,385,410,15.92324829
9/2/2024,161,30250,0,0,0
9/2/2024,161,30500,0,0,0
9/2/2024,161,30750,0,0,0
9/2/2024,161,31000,0,0,0
9/2/2024,161,31250,2020,2110,16.34820175
9/2/2024,161,31500,1975,2030,17.42382431
9/2/2024,161,31750,1810,1870,17.17136383
9/2/2024,161,32000,1675,1720,17.08325195
9/2/2024,161,32250,1535,1575,16.91765594
9/2/2024,161,32500,1395,1440,16.72989655
9/2/2024,161,32750,1275,1315,16.64483833
9/2/2024,161,33000,1155,1195,16.50201416
9/2/2024,161,33250,1045,1090,16.4276123
9/2/2024,161,33500,950,975,16.30239296
9/2/2024,161,33750,855,880,16.21608543
9/2/2024,161,34000,770,795,16.17252541
9/2/2024,161,34250,695,715,16.14525795
9/2/2024,161,34500,620,645,16.10553551
9/2/2024,161,34750,560,580,16.11930656
9/2/2024,161,35000,495,520,16.06369019
8/3/2024,189,30250,0,0,0
8/3/2024,189,30500,0,0,0
8/3/2024,189,30750,0,0,0
8/3/2024,189,31000,0,0,0
8/3/2024,189,31250,0,0,0
8/3/2024,189,31500,0,0,0
8/3/2024,189,31750,0,0,0
8/3/2024,189,32000,0,0,0
8/3/2024,189,32250,1660,1710,16.80811119
8/3/2024,189,32500,1525,1575,16.65184784
8/3/2024,189,32750,1400,1450,16.53886604
8/3/2024,189,33000,1280,1330,16.41448593
8/3/2024,189,33250,1170,1220,16.32838058
8/3/2024,189,33500,1065,1115,16.22939301
8/3/2024,189,33750,975,1005,16.11761475
8/3/2024,189,34000,885,915,16.04900169
8/3/2024,189,34250,805,830,15.99904537
8/3/2024,189,34500,725,755,15.94161034
8/3/2024,189,34750,655,685,15.90856838
8/3/2024,189,35000,590,620,15.86835861
