Maturity Date,Days,Strike,Bid,Ask,IMV
5/9/2023,4,4470,45.80000305,48.19999695,12.5
5/9/2023,4,4475,41.1000061,42.80000305,11.37630558
5/9/2023,4,4480,36.5,38.69999695,11.44175529
5/9/2023,4,4485,32.1000061,34.30000305,11.18537331
5/9/2023,4,4490,27.80000305,28.6000061,9.97299099
5/9/2023,4,4495,23.80000305,24.5,9.850247383
5/9/2023,4,4500,20,20.69999695,9.72873497
5/9/2023,4,4505,16.6000061,16.8999939,9.52657795
5/9/2023,4,4510,13.5,13.69999981,9.447544098
5/9/2023,4,4515,10.69999981,10.89999962,9.361872673
5/9/2023,4,4520,8.300000191,8.5,9.301447868
5/9/2023,4,4525,6.300000191,6.5,9.265712738
5/9/2023,4,4530,4.600000381,4.800000191,9.171504021
5/9/2023,4,4535,3.199999809,3.400000572,9.027692795
5/9/2023,4,4540,2.25,2.350000381,8.987652779
5/9/2023,4,4545,1.449999809,1.550000191,8.856231689
5/9/2023,4,4550,0.899999976,1,8.761622429
5/9/2023,4,4555,0.550000012,0.649999976,8.744002342
5/9/2023,4,4560,0.350000024,0.400000036,8.763814926
5/9/2023,4,4565,0.199999988,0.25,8.763849258
20/10/2023,49,4470,120.5,122.1000061,12.14255524
20/10/2023,49,4475,116.9000092,118.5,12.06650066
20/10/2023,49,4480,113.3000031,114.9000092,11.98412514
20/10/2023,49,4485,109.8000031,111.3000031,11.90340328
20/10/2023,49,4490,106.3000031,107.9000092,11.83206844
20/10/2023,49,4495,102.9000092,104.5,11.76186943
20/10/2023,49,4500,99.6000061,101.1000061,11.69262981
20/10/2023,49,4505,96.3999939,97.59999084,11.61639118
20/10/2023,49,4510,93.1000061,94.30000305,11.54086685
20/10/2023,49,4515,89.8999939,91.09999084,11.47359276
20/10/2023,49,4520,86.80000305,87.90000916,11.40663815
20/10/2023,49,4525,83.69999695,84.80000305,11.33985138
20/10/2023,49,4530,80.59999084,81.69999695,11.26573181
20/10/2023,49,4535,77.59999084,78.69999695,11.19682026
20/10/2023,49,4540,74.6000061,75.80000305,11.13137245
20/10/2023,49,4545,71.69999695,73.09999084,11.07943916
20/10/2023,49,4550,69,70.1000061,11.01054955
20/10/2023,49,4555,66.30000305,67.40000916,10.96007156
20/10/2023,49,4560,63.6000061,64.69999695,10.89601135
20/10/2023,49,4565,61,62.1000061,10.8409853
17/11/2023,77,4470,155,157.1000061,12.94232178
17/11/2023,77,4475,151.3999939,153.3999939,12.86400032
17/11/2023,77,4480,147.8999939,149.8999939,12.80107975
17/11/2023,77,4485,144.5,146.3999939,12.74063396
17/11/2023,77,4490,141.1000061,143,12.68256569
17/11/2023,77,4495,137.6999969,139.6000061,12.62052822
17/11/2023,77,4500,134.3999939,135.8999939,12.54207325
17/11/2023,77,4505,131,132.8999939,12.49645138
17/11/2023,77,4510,127.6999969,129.6000061,12.43488598
17/11/2023,77,4515,124.6999969,125.9000092,12.36302757
17/11/2023,77,4520,121.5,122.6999969,12.30541229
17/11/2023,77,4525,118.3000031,119.5,12.24352169
17/11/2023,77,4530,115.0999908,116.3000031,12.17733097
17/11/2023,77,4535,112.0999908,113.1999969,12.12502098
17/11/2023,77,4540,109,110.1999969,12.06826019
17/11/2023,77,4545,106,107.0999908,12.00789738
17/11/2023,77,4550,103,104.0999908,11.94611168
17/11/2023,77,4555,100.0999908,101.1999969,11.8955164
17/11/2023,77,4560,97.19999695,98.30000305,11.83897209
17/11/2023,77,4565,94.40000916,95.40000916,11.78248978
15/12/2023,105,4470,186.1000061,187.8999939,13.53126621
15/12/2023,105,4475,182.5,184.5,13.47614384
15/12/2023,105,4480,179.1000061,181,13.42374897
15/12/2023,105,4485,175.6000061,177.3999939,13.35270691
15/12/2023,105,4490,172.1999969,174.1000061,13.30563259
15/12/2023,105,4495,169,170.3000031,13.23958969
15/12/2023,105,4500,165.8999939,166.5,13.17617321
15/12/2023,105,4505,162.5,163.3000031,13.1260004
15/12/2023,105,4510,158.6999969,160.5,13.07293797
15/12/2023,105,4515,155.3999939,157.1999969,13.01698017
15/12/2023,105,4520,152.5,153.6999969,12.96870041
15/12/2023,105,4525,149.5,150,12.90161991
15/12/2023,105,4530,146.1000061,147.3000031,12.86321449
15/12/2023,105,4535,142.8999939,143.8000031,12.79024029
15/12/2023,105,4540,139.8000031,140.8999939,12.75099277
15/12/2023,105,4545,136.6999969,137.5,12.68249893
15/12/2023,105,4550,133.8000031,134.3000031,12.63184547
15/12/2023,105,4555,130.6000061,131.6999969,12.59368992
15/12/2023,105,4560,127.5999908,128.6999969,12.54194069
15/12/2023,105,4565,124.8000031,125.3000031,12.47641182
19/1/2024,140,4440,245.3000031,247.8000031,14.4243021
19/1/2024,140,4450,239,239.6999969,14.32563114
19/1/2024,140,4460,230.8000031,233.3000031,14.20985699
19/1/2024,140,4470,223.8000031,226.1000061,14.10648632
19/1/2024,140,4475,220.1000061,222.6000061,14.04715729
19/1/2024,140,4480,216.6000061,219.1000061,13.9956665
19/1/2024,140,4490,209.6000061,212.1000061,13.88696289
19/1/2024,140,4500,203.5,204.5,13.78487206
19/1/2024,140,4510,196.1000061,198.3000031,13.68088341
19/1/2024,140,4520,189.3000031,191.6000061,13.56849384
19/1/2024,140,4525,186.8000031,187.5,13.51865959
19/1/2024,140,4530,182.6999969,185,13.46667957
19/1/2024,140,4540,176.5,178.3000031,13.37014198
19/1/2024,140,4550,170.6000061,171.3000031,13.26483345
19/1/2024,140,4560,163.8000031,165.6000061,13.16905499
19/1/2024,140,4570,157.6999969,159.3999939,13.07339573
19/1/2024,140,4575,154.6000061,156.3000031,13.01985359
19/1/2024,140,4580,151.6000061,153.3000031,12.97313786
19/1/2024,140,4590,145.6999969,147.3000031,12.87724972
19/1/2024,140,4600,140.3000031,140.8000031,12.77190304
16/2/2024,168,4440,273.8999023,276.7998047,14.88279247
16/2/2024,168,4450,266.6999512,269.5998535,14.7848959
