Ticker,Strike,Bid,Ask,Last,IVM,Volm,Ticker,Strike,Bid,Ask,Last,IVM,Volm
28-Sep-23 (28d); CSize 50,,,,,,,,,,,,,
HSI 9/28/23 C17400,17400,1084,1116,1077,26.70791054,0,HSI 9/28/23 P17400,17400,161,163,168,23.83902359,159
HSI 9/28/23 C17500,17500,970,978,974,23.46270943,2,HSI 9/28/23 P17500,17500,184,185,190,23.66436577,289
HSI 9/28/23 C17600,17600,946,1087,925,29.87813187,0,HSI 9/28/23 P17600,17600,210,212,214,23.58325768,600
HSI 9/28/23 C17700,17700,817,858,852,23.70842552,0,HSI 9/28/23 P17700,17700,238,240,241,23.43072319,196
HSI 9/28/23 C17800,17800,744,794,760,23.56531715,1,HSI 9/28/23 P17800,17800,270,272,271,23.34340096,275
HSI 9/28/23 C17900,17900,703,708,707,23.53061485,0,HSI 9/28/23 P17900,17900,304,306,305,23.20519829,253
HSI 9/28/23 C18000,18000,641,646,632,23.41455841,8,HSI 9/28/23 P18000,18000,342,344,355,23.11495781,412
HSI 9/28/23 C18100,18100,583,587,586,23.31678581,17,HSI 9/28/23 P18100,18100,384,386,387,23.0645771,193
HSI 9/28/23 C18200,18200,528,532,519,23.23304176,44,HSI 9/28/23 P18200,18200,429,431,432,23.00082588,182
HSI 9/28/23 C18300,18300,477,480,474,23.16177368,55,HSI 9/28/23 P18300,18300,477,480,479,22.94756889,267
HSI 9/28/23 C18400,18400,430,433,430,23.14791679,178,HSI 9/28/23 P18400,18400,529,533,542,22.92611694,155
HSI 9/28/23 C18500,18500,386,389,387,23.12276268,242,HSI 9/28/23 P18500,18500,585,588,588,22.89173889,337
HSI 9/28/23 C18600,18600,346,349,342,23.13689041,270,HSI 9/28/23 P18600,18600,644,648,646,22.89489937,50
HSI 9/28/23 C18700,18700,309,312,310,23.14596367,273,HSI 9/28/23 P18700,18700,707,713,709,22.96668243,25
HSI 9/28/23 C18800,18800,276,278,276,23.18091774,219,HSI 9/28/23 P18800,18800,773,779,776,22.98871613,26
HSI 9/28/23 C18900,18900,245,247,246,23.19730377,237,HSI 9/28/23 P18900,18900,824,873,846,23.20448303,1
HSI 9/28/23 C19000,19000,218,220,219,23.28363037,238,HSI 9/28/23 P19000,19000,892,947,919,23.19909668,10
HSI 9/28/23 C19100,19100,193,195,195,23.33968925,205,HSI 9/28/23 P19100,19100,966,1023,993,23.27142525,0
HSI 9/28/23 C19200,19200,171,173,173,23.43491554,407,HSI 9/28/23 P19200,19200,1045,1102,1072,23.44547844,2
HSI 9/28/23 C19300,19300,151,153,153,23.51826286,620,HSI 9/28/23 P19300,19300,1129,1183,1152,23.71235847,0
30-Oct-23 (60d); CSize 50,,,,,,,,,,,,,
