Ticker,Strike,Bid,Ask,Last,IVM,Volm,Ticker,Strike,Bid,Ask,Last,IVM,Volm
08-Sep-23 (7d); CSize 1000,,,,,,,,,,,,,
NKY 9/8/23 C31500,31500,1195,1350,0,21.24606323,0,NKY 9/8/23 P31500,31500,17,18,17,16.37268829,909
NKY 9/8/23 C31625,31625,3,3,0,0,0,NKY 9/8/23 P31625,31625,22,22,21,15.78533649,250
NKY 9/8/23 C31750,31750,975,1160,1000,22.13977432,2,NKY 9/8/23 P31750,31750,28,29,28,15.28876305,590
NKY 9/8/23 C31875,31875,3,3,0,0,0,NKY 9/8/23 P31875,31875,39,39,37,15.01747513,212
NKY 9/8/23 C32000,32000,750,855,845,17.17571449,16,NKY 9/8/23 P32000,32000,49,49,49,14.38205719,2002
NKY 9/8/23 C32125,32125,3,3,710,0,2,NKY 9/8/23 P32125,32125,64,68,63,14.06793404,241
NKY 9/8/23 C32250,32250,530,565,560,12.92858982,29,NKY 9/8/23 P32250,32250,89,89,83,13.81773376,754
NKY 9/8/23 C32375,32375,435,470,455,12.81552505,29,NKY 9/8/23 P32375,32375,115,115,115,13.35237503,266
NKY 9/8/23 C32500,32500,355,375,390,12.64904594,128,NKY 9/8/23 P32500,32500,150,150,145,12.99838734,909
NKY 9/8/23 C32625,32625,285,295,295,12.65754414,111,NKY 9/8/23 P32625,32625,195,210,200,13.11963272,244
NKY 9/8/23 C32750,32750,230,230,225,12.91361237,287,NKY 9/8/23 P32750,32750,260,260,255,12.97256947,392
NKY 9/8/23 C32875,32875,165,175,175,12.62156391,301,NKY 9/8/23 P32875,32875,325,340,285,13.0909214,158
NKY 9/8/23 C33000,33000,125,125,130,12.59028721,1685,NKY 9/8/23 P33000,33000,405,425,410,13.24155045,193
NKY 9/8/23 C33125,33125,91,95,94,12.80486584,554,NKY 9/8/23 P33125,33125,490,525,485,13.49362755,1
NKY 9/8/23 C33250,33250,66,66,69,12.8461647,1084,NKY 9/8/23 P33250,33250,4,4,0,0,0
NKY 9/8/23 C33375,33375,45,49,48,13.0030756,453,NKY 9/8/23 P33375,33375,1,1,680,0,1
NKY 9/8/23 C33500,33500,35,35,34,13.38647175,1262,NKY 9/8/23 P33500,33500,4,960,0,0,0
