Maturity Date,Days,Strike,Bid,Ask,IMV
1/9/2023,1,17400,0,0,0
1/9/2023,1,17500,0,0,0
1/9/2023,1,17600,789,801,38.4144783
1/9/2023,1,17700,634,649,0
1/9/2023,1,17800,534,552,0
1/9/2023,1,17900,474,1999,174.313858
1/9/2023,1,18000,336,367,0
1/9/2023,1,18100,255,278,0
1/9/2023,1,18200,184,196,11.82844257
1/9/2023,1,18300,122,128,14.14836884
1/9/2023,1,18400,76,84,15.93410206
1/9/2023,1,18500,45,49,16.81165886
1/9/2023,1,18600,25,29,17.76966667
1/9/2023,1,18700,13,15,18.26532936
1/9/2023,1,18800,6,8,18.80103683
1/9/2023,1,18900,3,4,19.45263863
1/9/2023,1,19000,1,2,19.70688629
1/9/2023,1,19100,1,1,21.19289398
1/9/2023,1,19200,1,1,23.67643547
1/9/2023,1,19300,1,1,26.11823082
28/9/2023,28,17400,1084,1116,26.70791054
28/9/2023,28,17500,970,978,23.46270943
28/9/2023,28,17600,946,1087,29.87813187
28/9/2023,28,17700,817,858,23.70842552
28/9/2023,28,17800,744,794,23.56531715
28/9/2023,28,17900,703,708,23.53061485
28/9/2023,28,18000,641,646,23.41455841
28/9/2023,28,18100,583,587,23.31678581
28/9/2023,28,18200,528,532,23.23304176
28/9/2023,28,18300,477,480,23.16177368
28/9/2023,28,18400,430,433,23.14791679
28/9/2023,28,18500,386,389,23.12276268
28/9/2023,28,18600,346,349,23.13689041
28/9/2023,28,18700,309,312,23.14596367
28/9/2023,28,18800,276,278,23.18091774
28/9/2023,28,18900,245,247,23.19730377
28/9/2023,28,19000,218,220,23.28363037
28/9/2023,28,19100,193,195,23.33968925
28/9/2023,28,19200,171,173,23.43491554
28/9/2023,28,19300,151,153,23.51826286
30/10/2023,60,17400,0,0,0
30/10/2023,60,17500,1238,1247,25.67410469
30/10/2023,60,17600,1167,1177,25.43015862
30/10/2023,60,17700,1098,1108,25.17800903
30/10/2023,60,17800,967,973,22.57277298
30/10/2023,60,17900,904,911,22.46555901
30/10/2023,60,18000,825,898,22.85169792
30/10/2023,60,18100,799,806,22.7034359
30/10/2023,60,18200,744,751,22.61460495
30/10/2023,60,18300,692,698,22.53408432
30/10/2023,60,18400,643,648,22.47439003
30/10/2023,60,18500,596,601,22.42004776
30/10/2023,60,18600,552,557,22.38998604
30/10/2023,60,18700,511,515,22.36714935
30/10/2023,60,18800,472,476,22.35279846
30/10/2023,60,18900,435,439,22.33129311
30/10/2023,60,19000,401,405,22.34459496
30/10/2023,60,19100,369,373,22.35041428
30/10/2023,60,19200,339,343,22.35716248
30/10/2023,60,19300,312,315,22.38610077
29/11/2023,90,17400,0,0,0
29/11/2023,90,17500,0,0,0
29/11/2023,90,17600,0,0,0
29/11/2023,90,17700,1239,1312,25.03710365
29/11/2023,90,17800,1134,1155,22.93007278
29/11/2023,90,17900,1072,1094,22.80613899
29/11/2023,90,18000,87,87,0
29/11/2023,90,18100,956,976,22.57015228
29/11/2023,90,18200,880,955,22.65279388
29/11/2023,90,18300,844,879,22.47599411
29/11/2023,90,18400,811,828,22.63372231
29/11/2023,90,18500,758,779,22.49111748
29/11/2023,90,18600,712,732,22.424757
29/11/2023,90,18700,667,687,22.34662819
29/11/2023,90,18800,625,644,22.28655815
29/11/2023,90,18900,587,603,22.25682449
29/11/2023,90,19000,550,565,22.23363876
29/11/2023,90,19100,516,529,22.23620605
29/11/2023,90,19200,476,493,22.0993557
29/11/2023,90,19300,450,462,22.18865204
28/12/2023,119,17400,0,0,0
28/12/2023,119,17500,1506,1583,25.03642082
28/12/2023,119,17600,0,0,0
28/12/2023,119,17700,1371,1444,24.53644371
28/12/2023,119,17800,1300,1326,23.59518051
28/12/2023,119,17900,1238,1263,23.42207718
28/12/2023,119,18000,1177,1203,23.26327133
28/12/2023,119,18100,1101,1176,23.2866478
28/12/2023,119,18200,1044,1119,23.13952065
28/12/2023,119,18300,989,1064,23.00385666
28/12/2023,119,18400,954,1000,22.96215248
28/12/2023,119,18500,904,950,22.87100601
28/12/2023,119,18600,856,892,22.67163086
28/12/2023,119,18700,809,842,22.54088783
28/12/2023,119,18800,765,796,22.45581818
28/12/2023,119,18900,724,755,22.42869568
28/12/2023,119,19000,692,713,22.46085548
28/12/2023,119,19100,653,671,22.36732674
28/12/2023,119,19200,618,635,22.36383629
28/12/2023,119,19300,584,598,22.32302856
27/3/2024,209,17400,1926,2050,24.76482582
27/3/2024,209,17500,0,0,0
27/3/2024,209,17600,0,0,0
27/3/2024,209,17700,0,0,0
27/3/2024,209,17800,1670,1709,23.3530426
27/3/2024,209,17900,1610,1647,23.22319794
27/3/2024,209,18000,1550,1587,23.08747292
